LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
96,-,1131566490,2005.11.09,eadmin1,Nov,9,12:01:30,src@eadmin1,sendmail,4306.0,unable to qualify my own domain name (eadmin1) -- using short name,Thunderbird_E131,unable to qualify my own domain name (<*>) -- using short name,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
98,-,1131566491,2005.11.09,eadmin1,Nov,9,12:01:31,src@eadmin1,sendmail,4306.0,"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",Thunderbird_E15,"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=#<*>#@localhost",Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
99,-,1131566491,2005.11.09,eadmin1,Nov,9,12:01:31,src@eadmin1,sendmail,4306.0,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",Thunderbird_E16,"<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
128,-,1131566501,2005.11.09,aadmin1,Nov,9,12:01:41,src@aadmin1,dhcpd,,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,Thunderbird_E36,DHCPDISCOVER from <*> via eth1,Thunderbird,O O O O O O O O O O O O O O O OBN,0,0,1,0,0,0,0,0,0,0
129,-,1131566501,2005.11.09,aadmin1,Nov,9,12:01:41,src@aadmin1,dhcpd,,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,Thunderbird_E38,DHCPOFFER on <*> to <*> via eth1,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
132,-,1131566501,2005.11.09,aadmin2,Nov,9,12:01:41,src@aadmin2,dhcpd,,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,Thunderbird_E37,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
139,-,1131566503,2005.11.09,aadmin1,Nov,9,12:01:43,src@aadmin1,dhcpd,,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,Thunderbird_E35,DHCPACK on <*> to <*> via eth1,Thunderbird,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
140,-,1131566503,2005.11.09,aadmin1,Nov,9,12:01:43,src@aadmin1,dhcpd,,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,Thunderbird_E39,DHCPREQUEST for <*> (<*>) from <*> via eth1,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
141,-,1131566503,2005.11.09,aadmin1,Nov,9,12:01:43,src@aadmin1,xinetd,18274.0,START: tftp pid=16563 from=10.100.4.251,Thunderbird_E119,START: tftp pid=<*> from=<*>,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
142,-,1131566503,2005.11.09,aadmin2,Nov,9,12:01:43,src@aadmin2,dhcpd,,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,Thunderbird_E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,Thunderbird,O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
404,-,1131566637,2005.11.09,tbird-admin1,Nov,9,12:03:57,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,RRD_update (/var/lib/ganglia/rrds/C Nodes/cn304/pkts_out.rrd): illegal attempt to update using time 1131563037 when last update time is 1131563037 (minimum one second step),Thunderbird_E111,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
459,-,1131566665,2005.11.09,tbird-admin1,Nov,9,12:04:25,local@tbird-admin1,ntpd,1815.0,kernel time sync disabled 0041,Thunderbird_E61,kernel time sync disabled <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
460,-,1131566665,2005.11.09,tbird-admin1,Nov,9,12:04:25,local@tbird-admin1,ntpd,1815.0,time reset +0.182379 s,Thunderbird_E128,time reset +<*> s,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
566,-,1131566712,2005.11.09,#32#,Nov,9,12:05:12,#32#/#32#,snmpd,1964.0,Received SNMP packet(s) from #34#,Thunderbird_E98,Received SNMP packet(s) from #<*>#,Thunderbird,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
957,-,1131566925,2005.11.09,tbird-admin1,Nov,9,12:08:45,local@tbird-admin1,ntpd,1815.0,kernel time sync enabled 0001,Thunderbird_E62,kernel time sync enabled <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1101,-,1131567001,2005.11.09,aadmin1,Nov,9,12:10:01,src@aadmin1,crond,16571.0,(root) CMD (/projects/tbird/temps/get_temps a),Thunderbird_E2,(<*>) CMD (<*> <*>),Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1162,-,1131567031,2005.11.09,eadmin1,Nov,9,12:10:31,src@eadmin1,sendmail,7417.0,My unqualified host name (eadmin1) unknown; sleeping for retry,Thunderbird_E75,My unqualified host name (<*>) unknown; sleeping for retry,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1182,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,- User ID,,CentOS-4 (Kernel Module GPG key),Thunderbird_E25,CentOS-<*> (Kernel Module GPG key),Thunderbird,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1183,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,(supports S0 S4 S5),Thunderbird_E4,(supports <*>),Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1184,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,Thunderbird_E10,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,Thunderbird,O O O O O O O O O O O OBN,0,0,1,0,0,0,0,0,0,0
1187,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,HPET id: 0xffffffff base: 0xfed00000,Thunderbird_E50,HPET id: <*> base: <*>,Thunderbird,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1188,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,INT_SRC_OVR (bus 0 bus_irq 0 global_irq 2 dfl dfl),Thunderbird_E55,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),Thunderbird,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1189,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,INT_SRC_OVR (bus 0 bus_irq 9 global_irq 9 high level),Thunderbird_E56,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1190,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,IOAPIC (id[0x08] address[0xfec00000] gsi_base[0]),Thunderbird_E59,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1193,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,IRQ0 used by override.,Thunderbird_E60,<*> used by override.,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1196,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,Interpreter enabled,Thunderbird_E58,Interpreter enabled,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1197,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,LAPIC (acpi_id[0x01] lapic_id[0x00] enabled),Thunderbird_E64,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),Thunderbird,O O O O O O O O O O O O O LOI LOI LOI,0,3,0,0,0,0,0,0,0,0
1201,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,LAPIC_NMI (acpi_id[0x01] high edge lint[0x1]),Thunderbird_E65,LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),Thunderbird,O O O O O O O O O O O O O O OBA OBA OBA OBA OBA OBA OBA OBA OBA O,0,0,0,0,0,0,0,9,0,0
1205,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,Local APIC address 0xfee00000,Thunderbird_E66,Local APIC address <*>,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1208,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,PCI Interrupt Link [LNKA] (IRQs 3 4 5 6 7 10 11 12) *14,Thunderbird_E82,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1209,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,PCI Interrupt Link [LNKB] (IRQs 3 4 5 6 7 10 *11 12),Thunderbird_E83,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1211,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,"PCI Interrupt Link [LNKD] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.",Thunderbird_E84,"PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled.",Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1216,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBA._PRT],Thunderbird_E85,PCI Interrupt Routing Table [<*>],Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1226,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,PCI Root Bridge [PCI0] (00:00),Thunderbird_E86,PCI <*> Bridge [PCI0] (<*>:<*>),Thunderbird,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1227,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,"PCI interrupt 0000:00:02.0[A] -> GSI 16 (level, low) -> IRQ 169",Thunderbird_E81,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1238,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,Power Button (FF) [PWRF],Thunderbird_E90,Power Button (FF) [PWRF],Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1239,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,Processor [CPU0] (supports C1),Thunderbird_E94,Processor [<*>] (supports C1),Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1243,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,RSDP (v000 DELL ) @ 0x00000000000fd650,Thunderbird_E112,RSDP (<*> DELL ) @ <*>,Thunderbird,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1246,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,Subsystem revision 20040816,Thunderbird_E123,Subsystem revision <*>,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1247,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,Using IOAPIC for interrupt routing,Thunderbird_E139,Using IOAPIC for interrupt routing,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1248,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,CPU0,,Intel(R) Xeon(TM) CPU 3.60GHz stepping 03,Thunderbird_E57,Intel(R) Xeon(TM) CPU <*> stepping <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1249,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,CPU,,L2 cache: 2048K,Thunderbird_E63,L2 cache: <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1254,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,CPU,,Physical Processor ID: 0,Thunderbird_E88,Physical Processor ID: <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1259,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,CPU,,"Trace cache: 12K uops, L1 D cache: 16K",Thunderbird_E129,"Trace cache: <*> uops, L1 D cache: <*>",Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1264,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,Console,,colour VGA+ 80x25,Thunderbird_E27,colour VGA+ <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1265,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,EXT3-fs,,mounted filesystem with ordered data mode.,Thunderbird_E71,mounted filesystem with ordered data mode.,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1268,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,IA32 emulation $Id,,"sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $",Thunderbird_E11,<*> <*> <*>/<*>/<*> <*>:<*>:<*> ak Exp $,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1269,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,IOAPIC,0.0,"apic_id 8, version 32, address 0xfec00000, GSI 0-23",Thunderbird_E18,"apic_id <*>, version <*>, address <*>, GSI <*>",Thunderbird,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1272,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,IP,,"routing cache hash table of 65536 buckets, 1024Kbytes",Thunderbird_E109,"routing cache hash table of <*> buckets, <*>",Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1273,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,Intel E7520/7320/7525 detected.<6>pci_hotplug,,PCI Hot Plug PCI Core version: 0.5,Thunderbird_E80,PCI Hot Plug PCI Core version: <*>,Thunderbird,O O O O O O O O O O O O O O O O O OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN OBN,0,0,115,0,0,0,0,0,0,0
1274,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,Kernel command line,,"root=LABEL=/ initrd=/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=tty0 console=ttyS0,19200 fastboot BOOT_IMAGE=/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr",Thunderbird_E108,"<*>=LABEL=/ initrd=<*> console=<*> console=<*>,<*> fastboot BOOT_IMAGE=<*>",Thunderbird,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1275,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,NET,,Registered protocol family 1,Thunderbird_E103,Registered protocol family <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1279,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,PCI-DMA,,Using software bounce buffering for IO (SWIOTLB),Thunderbird_E141,Using software bounce buffering for IO (SWIOTLB),Thunderbird,O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1280,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,PCI,,Probing PCI hardware (bus 00),Thunderbird_E93,Probing PCI hardware (bus <*>),Thunderbird,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1281,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,PCI,,Transparent bridge - 0000:00:1e.0,Thunderbird_E130,Transparent bridge - <*>,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1282,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,PCI,,Using ACPI for IRQ routing,Thunderbird_E136,Using ACPI for IRQ routing,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1283,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,PCI,,Using MMCONFIG at e0000000,Thunderbird_E140,Using MMCONFIG at <*>,Thunderbird,O O O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1284,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,PCI,,Using configuration type 1,Thunderbird_E137,Using configuration type <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1285,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,RAMDISK,,Compressed image found at block 0,Thunderbird_E28,Compressed image found at block <*>,Thunderbird,O O O O O O O O O O O LOI O O OBA O O O O OBA,0,1,0,0,0,0,0,2,0,0
1286,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,SELinux,,Disabled at runtime.,Thunderbird_E42,Disabled at runtime.,Thunderbird,O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1287,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,SELinux,,Initializing.,Thunderbird_E53,Initializing.,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1288,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,SELinux,,Registering netfilter hooks,Thunderbird_E104,Registering netfilter hooks,Thunderbird,O O O O O O O O O OID O CRS TID OBA OID LOI,2,1,0,1,0,0,1,1,0,0
1289,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,SELinux,,Starting in permissive mode,Thunderbird_E121,Starting in permissive mode,Thunderbird,O O O O O O O O O O O OID LOI,1,1,0,0,0,0,0,0,0,0
1290,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,SELinux,,Unregistering netfilter hooks,Thunderbird_E133,Unregistering netfilter hooks,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1291,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,TCP,,Hash tables configured (established 262144 bind 65536),Thunderbird_E49,Hash tables configured (established <*> bind <*>),Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1292,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,Type,,Direct-Access ANSI SCSI revision: 02,Thunderbird_E41,Direct-Access ANSI SCSI revision: <*>,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1293,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,Type,,Processor ANSI SCSI revision: 02,Thunderbird_E95,Processor ANSI SCSI revision: <*>,Thunderbird,O O O O O O O O O O O LOI O O O O O O O,0,1,0,0,0,0,0,0,0,0
1294,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,VFS,,Disk quotas dquot_6.5.1,Thunderbird_E43,Disk quotas <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1295,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,VFS,,Mounted root (ext2 filesystem).,Thunderbird_E72,Mounted <*> (ext2 filesystem).,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1296,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,Vendor,,MegaRAID Model: LD 0 RAID1 139G Rev: 516A,Thunderbird_E70,MegaRAID Model: LD <*> RAID1 <*> Rev: <*>,Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
1297,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,Vendor,,PE/PV Model: 1x2 SCSI BP Rev: 1.0,Thunderbird_E87,PE/PV Model: <*> SCSI BP Rev: <*>,Thunderbird,O O O O O O O O O O O LOI O OBA,0,1,0,0,0,0,0,1,0,0
1298,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,audit(1131538222.234:0),,initialized,Thunderbird_E51,initialized,Thunderbird,O O O O O O O O O O O O OTP,0,0,0,0,0,0,0,0,0,1
1299,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,audit,,initializing netlink socket (disabled),Thunderbird_E52,initializing netlink socket (disabled),Thunderbird,O O O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
